CV-Fold,Regularisation (Alpha),Learning Rate,Steps,Random State,Accuracy,Mean Accuracy,Varied
0,1e-06,0.1,50,999,0.8881469115191987,0.9137451307735115,Regularisation
1,1e-06,0.1,50,999,0.9432387312186978,0.9137451307735115,Regularisation
2,1e-06,0.1,50,999,0.9098497495826378,0.9137451307735115,Regularisation
0,1.1090909090909092e-05,0.1,50,999,0.8831385642737897,0.9176405119643851,Regularisation
1,1.1090909090909092e-05,0.1,50,999,0.9482470784641068,0.9176405119643851,Regularisation
2,1.1090909090909092e-05,0.1,50,999,0.9215358931552587,0.9176405119643851,Regularisation
0,2.1181818181818184e-05,0.1,50,999,0.8814691151919867,0.9126321647189761,Regularisation
1,2.1181818181818184e-05,0.1,50,999,0.9465776293823038,0.9126321647189761,Regularisation
2,2.1181818181818184e-05,0.1,50,999,0.9098497495826378,0.9126321647189761,Regularisation
0,3.127272727272727e-05,0.1,50,999,0.8781302170283807,0.9065108514190318,Regularisation
1,3.127272727272727e-05,0.1,50,999,0.9365609348914858,0.9065108514190318,Regularisation
2,3.127272727272727e-05,0.1,50,999,0.9048414023372288,0.9065108514190318,Regularisation
0,4.1363636363636364e-05,0.1,50,999,0.8714524207011686,0.9053978853644963,Regularisation
1,4.1363636363636364e-05,0.1,50,999,0.9415692821368948,0.9053978853644963,Regularisation
2,4.1363636363636364e-05,0.1,50,999,0.9031719532554258,0.9053978853644963,Regularisation
0,5.1454545454545455e-05,0.1,50,999,0.8764607679465777,0.9048414023372287,Regularisation
1,5.1454545454545455e-05,0.1,50,999,0.9282136894824707,0.9048414023372287,Regularisation
2,5.1454545454545455e-05,0.1,50,999,0.9098497495826378,0.9048414023372287,Regularisation
0,6.154545454545455e-05,0.1,50,999,0.8864774624373957,0.9148580968280468,Regularisation
1,6.154545454545455e-05,0.1,50,999,0.9449081803005008,0.9148580968280468,Regularisation
2,6.154545454545455e-05,0.1,50,999,0.9131886477462438,0.9148580968280468,Regularisation
0,7.163636363636365e-05,0.1,50,999,0.8898163606010017,0.904284919309961,Regularisation
1,7.163636363636365e-05,0.1,50,999,0.9298831385642737,0.904284919309961,Regularisation
2,7.163636363636365e-05,0.1,50,999,0.8931552587646077,0.904284919309961,Regularisation
0,8.172727272727273e-05,0.1,50,999,0.8764607679465777,0.8981636060100167,Regularisation
1,8.172727272727273e-05,0.1,50,999,0.9265442404006677,0.8981636060100167,Regularisation
2,8.172727272727273e-05,0.1,50,999,0.8914858096828047,0.8981636060100167,Regularisation
0,9.181818181818182e-05,0.1,50,999,0.8797996661101837,0.8981636060100167,Regularisation
1,9.181818181818182e-05,0.1,50,999,0.9332220367278798,0.8981636060100167,Regularisation
2,9.181818181818182e-05,0.1,50,999,0.8814691151919867,0.8981636060100167,Regularisation
0,0.00010190909090909091,0.1,50,999,0.8764607679465777,0.8953811908736783,Regularisation
1,0.00010190909090909091,0.1,50,999,0.9181969949916527,0.8953811908736783,Regularisation
2,0.00010190909090909091,0.1,50,999,0.8914858096828047,0.8953811908736783,Regularisation
0,0.00011200000000000001,0.1,50,999,0.8747913188647746,0.8948247078464107,Regularisation
1,0.00011200000000000001,0.1,50,999,0.9315525876460768,0.8948247078464107,Regularisation
2,0.00011200000000000001,0.1,50,999,0.8781302170283807,0.8948247078464107,Regularisation
0,0.0001220909090909091,0.1,50,999,0.8814691151919867,0.89259877573734,Regularisation
1,0.0001220909090909091,0.1,50,999,0.9298831385642737,0.89259877573734,Regularisation
2,0.0001220909090909091,0.1,50,999,0.8664440734557596,0.89259877573734,Regularisation
0,0.00013218181818181818,0.1,50,999,0.8564273789649416,0.8870339454646633,Regularisation
